"ID","Parm","Parm.Description","Select","Min","Max","Category","Unit"
1,"PRIC","Purchase price ($) �exception custom = cost",0,NA,NA,NA,"$/ha"
2,"XLP","Initial list price in current",0,NA,NA,NA,"$"
3,"HRY","Annual use",0,NA,NA,NA,"hours"
4,"HRL","Life of equip",0,NA,NA,NA,"hours"
5,"PWR","Power of unit",0,NA,NA,NA,"kW"
6,"WDT","Width of pass",0,NA,NA,NA,"m"
7,"SPD","Operating Speed",0,NA,NA,NA,"kph"
8,"RC1","Repair cost coefficient 1",0,NA,NA,NA,""
9,"RC2","Repair cost coefficient 2",0,NA,NA,NA,""
10,"XLB","Lubricant factor",0,NA,NA,NA,""
11,"FCM","Fuel consumption multiplier",0,NA,NA,NA,""
12,"RFV1","Remaining farm value PARM1",0,NA,NA,NA,""
13,"RFV2","Remaining farm value PARM2",0,NA,NA,NA,""
14,"EFM","Machine efficiency",0,NA,NA,NA,""
15,"RTI","Annual real interest rate",0,NA,NA,NA,"$/$"
16,"EMX","Mixing Efficiency",0,0,1,NA,""
17,"RR","Random surface roughness created by tillage operation",0,NA,NA,NA,""
18,"TLD","Tillage depth",0,NA,NA,NA,"mm"
19,"RHT","Ridge height",0,NA,NA,NA,""
20,"RIN","Ridge interval",0,NA,NA,NA,"m"
21,"DKH","Height of furrow dikes",0,NA,NA,NA,"mm"
22,"DKI","Distance between furrow dikes",0,NA,NA,NA,"m"
23,"IHC","Operation Code",0,NA,NA,NA,""
24,"HE","Harvest Efficiency",0,0,1,NA,""
25,"ORHI","Overrides simulated Harvest Index (HI)",0,0,1,NA,""
26,"FRCP","Fraction of soil compacted",0,NA,NA,NA,""
27,"FPOP","Fraction plant population reduced by operation.",0,NA,NA,NA,""
28,"TCEM","Carbon emission",0,NA,NA,NA,""
29,"EFI","",0,NA,NA,NA,""
30,"STIR","",0,NA,NA,NA,""
