"ID","Parm","Parm.Description","Select","Min","Max","Category","Unit"
1,"FN","Mineral N fraction",0,NA,NA,"Fert",""
2,"FP","Mineral P fraction",0,NA,NA,"Fert",""
3,"FK","Mineral K fraction",0,NA,NA,"Fert",""
4,"FNO","Organic N fraction",0,NA,NA,"Fert",""
5,"FPO","Organic P fraction",0,NA,NA,"Fert",""
6,"FNH3","Ammonia N fraction",0,NA,NA,"Fert",""
7,"FOC","Organic C fraction",0,NA,NA,"Fert",""
8,"FSLT","Salt fraction",0,NA,NA,"Fert",""
9,"FCST","Fertilizer cost",0,NA,NA,"Fert","$/kg"
10,"FCEM","Carbon emission per unit fertilizer",0,NA,NA,"Fert","kg/kg"
