"ID","Parm","Parm.Description","Select","Min","Max","Category","Unit"
1,"SRCP1_1","Expresses the effect of soil course fragment content",0,NA,NA,"",NA
2,"SRCP1_2","Governs soil evaporation as a function of soil depth",0,NA,NA,"",NA
3,"SRCP1_3","Drives harvest index development as a function of crop Maturity",0,NA,NA,"",NA
4,"SRCP1_4","NRCS runoff curve number soil water relationship",0,NA,NA,"",NA
5,"SRCP1_5","Estimates soil cover factor used in simulating soil temperature",0,NA,NA,"",NA
6,"SRCP1_6","Settles after tillage soil bulk density to normal value",0,NA,NA,"",NA
7,"SRCP1_7","Determines the root growth aeration stress factor",0,NA,NA,"",NA
8,"SRCP1_8","Determines the plant stress caused by N or P deficiency",0,NA,NA,"",NA
9,"SRCP1_9","Calculates the pest damage factor",0,NA,NA,"",NA
10,"SRCP1_10","Calculates the effect of water stress on harvest index",0,NA,NA,"",NA
11,"SRCP1_11","Estimates plant water stress",0,NA,NA,"",NA
12,"SRCP1_12","Governs N volatilization",0,NA,NA,"",NA
13,"SRCP1_13","Calculates wind erosion vegetative cover factor",0,NA,NA,"",NA
14,"SRCP1_14","Calculates soil temperature factor",0,NA,NA,"",NA
15,"SRCP1_15","Expresses plant population effect on epic water erosion cover factor",0,NA,NA,"",NA
16,"SRCP1_16","Increases snow melt",0,NA,NA,"",NA
17,"SRCP1_17","Estimates the snow cover factor",0,NA,NA,"",NA
18,"SRCP1_18","Expresses soil temperature effect",0,NA,NA,"",NA
19,"SRCP1_19","Drives water table between maximum and minimum limits",0,NA,NA,"",NA
20,"SRCP1_20","Simulates oxygen content of soil as a function of depth",0,NA,NA,"",NA
21,"SRCP1_21","Governs plant water stress",0,NA,NA,"",NA
22,"SRCP1_22","",0,NA,NA,"",NA
23,"SRCP1_23","Estimates fraction plant ground cover",0,NA,NA,"",NA
24,"SRCP1_24","Simulates oxygen content of soil",0,NA,NA,"",NA
25,"SRCP1_25","Regulates denitrification",0,NA,NA,"",NA
26,"SRCP1_26","Estimates plant ground cover",0,NA,NA,"",NA
27,"SRCP1_27","",0,NA,NA,"",NA
28,"SRCP1_28","",0,NA,NA,"",NA
29,"SRCP1_29","",0,NA,NA,"",NA
30,"SRCP1_30","Exception to normal S-Curve procedure",0,NA,NA,"",NA
31,"SRCP2_1","Expresses the effect of soil course fragment content",0,NA,NA,"",NA
32,"SRCP2_2","Governs soil evaporation as a function of soil depth",0,NA,NA,"",NA
33,"SRCP2_3","Drives harvest index development as a function of crop Maturity",0,NA,NA,"",NA
34,"SRCP2_4","NRCS runoff curve number soil water relationship",0,NA,NA,"",NA
35,"SRCP2_5","Estimates soil cover factor used in simulating soil temperature",0,NA,NA,"",NA
36,"SRCP2_6","Settles after tillage soil bulk density to normal value",0,NA,NA,"",NA
37,"SRCP2_7","Determines the root growth aeration stress factor",0,NA,NA,"",NA
38,"SRCP2_8","Determines the plant stress caused by N or P deficiency",0,NA,NA,"",NA
39,"SRCP2_9","Calculates the pest damage factor",0,NA,NA,"",NA
40,"SRCP2_10","Calculates the effect of water stress on harvest index",0,NA,NA,"",NA
41,"SRCP2_11","Estimates plant water stress",0,NA,NA,"",NA
42,"SRCP2_12","Governs N volatilization",0,NA,NA,"",NA
43,"SRCP2_13","Calculates wind erosion vegetative cover factor",0,NA,NA,"",NA
44,"SRCP2_14","Calculates soil temperature factor",0,NA,NA,"",NA
45,"SRCP2_15","Expresses plant population effect on epic water erosion cover factor",0,NA,NA,"",NA
46,"SRCP2_16","Increases snow melt",0,NA,NA,"",NA
47,"SRCP2_17","Estimates the snow cover factor",0,NA,NA,"",NA
48,"SRCP2_18","Expresses soil temperature effect",0,NA,NA,"",NA
49,"SRCP2_19","Drives water table between maximum and minimum limits",0,NA,NA,"",NA
50,"SRCP2_20","Simulates oxygen content of soil as a function of depth",0,NA,NA,"",NA
51,"SRCP2_21","Governs plant water stress",0,NA,NA,"",NA
52,"SRCP2_22","",0,NA,NA,"",NA
53,"SRCP2_23","Estimates fraction plant ground cover",0,NA,NA,"",NA
54,"SRCP2_24","Simulates oxygen content of soil",0,NA,NA,"",NA
55,"SRCP2_25","Regulates denitrification",0,NA,NA,"",NA
56,"SRCP2_26","Estimates plant ground cover",0,NA,NA,"",NA
57,"SRCP2_27","",0,NA,NA,"",NA
58,"SRCP2_28","",0,NA,NA,"",NA
59,"SRCP2_29","",0,NA,NA,"",NA
60,"SRCP2_30","Exception to normal S-Curve procedure",0,NA,NA,"",NA
61,"PARM1","Crop canopy",1,1,2,"1,2,3,4,5,6,8",NA
62,"PARM2","Root growth - soil strength",0,1.2,1.5,"3,5,7",NA
63,"PARM3","Water stress - harvest index (0 – 1)",0,0,1,"1,4",NA
64,"PARM4","Denitrification rate constant",0,0.1,5,"1,4",NA
65,"PARM5","Soil water lower limit of water content in the top 0.5 m soil depth",0,0,1,"3,5,7",NA
66,"PARM6","Winter dormancy (h) causes dormancy in winter grown crops",0,0,1,"0",NA
67,"PARM7","Nitrogen fixation is limited by soil water or nitrate content or by crop growth stage",0,0,1,"1,4",NA
68,"PARM8","Soluble P runoff coefficient",0,10,20,"0",NA
69,"PARM9","Pest damage moisture threshold",0,25,150,"0",NA
70,"PARM10","Pest damage cover threshold",0,1,10,"0",NA
71,"PARM11","Moisture required for seed germination",1,-30,-10,"1,2,4,6,7",NA
72,"PARM12","Soil evaporation coefficient",0,1.5,2.5,"3,5,7",NA
73,"PARM13","Hargreaves PET equation exponent",0,0.5,0.6,"3,5,7",NA
74,"PARM14","Nitrate leaching ratio",0,0.1,1,"0",NA
75,"PARM15","Runoff CN Residue Adjustment Parameter",0,0,0.3,"0",NA
76,"PARM16","Plow layer depth",0,NA,NA,"0",NA
77,"PARM17","Crack flow coefficient",0,0,0.3,"5",NA
78,"PARM18","Pesticide leaching ratio",0,0.1,1,"0",NA
79,"PARM19","Fraction of maturity at spring growth initiation",0,0,1,"0",NA
80,"PARM20","",0,NA,NA,"",NA
81,"PARM21","KOC for carbon loss in water and sediment",0,500,1500,"0",NA
82,"PARM22","K pool flow coefficient",0,1e-05,5e-04,"0",NA
83,"PARM23","Exponential coefficient in RUSLE C residue factor",0,0.01,0.5,"0",NA
84,"PARM24","Maximum depth for biological mixing (m)",0,0.1,0.3,"1,4",NA
85,"PARM25","Biological mixing efficiency",0,0.1,0.5,"1,4",NA
