    1 2,4-D 4.00L        23180.0    5.50     9.0    0.45      48.0    6.96
    2 2,4,5-T Acid         150.0   30.00     9.0    0.45      80.0    0.00
    3 AATREX 4L 2-1/2       33.0  146.00     5.0    0.45     147.0    7.97 4.70238
    4 Abate                  0.0   30.00     5.0    0.65    1070.0   12.10
    5 Acaraben              13.0   20.00    10.0    0.05    2810.0   39.14
    6 Accelerate        100000.0    2.80     7.0    0.90      85.0   89.18
    7 ACCLAIM 1 GAL          1.0    1.00     5.0    0.20    9490.0  751.13 4.70238
    8 ACTELLIC 1 QT          9.0   24.00    99.0   99.00   23402.0  132.30 4.93193
    9 Alanap-L          231000.0  245.80     7.0    0.95    2212.0    7.72
   10 Alar              100000.0    0.70     4.0    0.95       9.0    7.65
   11 Aldrin                 0.0  365.00     2.0    0.05   17500.0   48.30
   12 Aliette WDG       120000.0    0.10     0.1    0.95     166.0   60.22
   13 Ally                2790.0   28.00    25.0    0.80      42.0  235.98
   14 AMDRO  1 LB            0.0   18.00    99.0   99.00  730000.0   26.43 4.93193
   15 AMIBEN 10G 50 LB     700.0   14.00     7.0    0.95      21.0   31.69
   16 AMID-THIN 1 LB       100.0   10.00     5.0    0.60     100.0  346.19
   17 AMITROL-T 1 GAL   360000.0    1.00     5.0    0.95      93.0   29.67
   18 Ammo                   0.0   36.00     5.0    0.40   61000.0  402.19 4.93193
   19 Antor                105.0    9.00    10.0    0.40     100.0   22.05
   20 A-Rest               440.0   15.00    30.0    0.50      83.0   77.91
   21 ARSENAL 2EC 1 QT  500000.0   90.00    30.0    0.80     100.0  308.03 4.70238
   22 Arsonate         1400000.0  180.00    10.0    1.00    7000.0    3.86
   23 ASANA XL  1 GAL        0.0  108.00     8.0    0.40    5273.0  431.99 4.93193
   24 ASSET 2.5 GAL        857.0   45.00    18.0    0.65      35.0   56.23
   25 ASSET GAL            857.0   45.00    18.0    0.65      35.0   53.28
   26 ASSURE 1 GAL (4X       0.3   60.00    15.0    0.20     540.0  168.52 4.70238
   27 Asulox            550000.0   10.00     3.0    0.95     138.0   30.04 4.70238
   28 AVENGE  2-1/2 GA  817000.0   87.00     0.0    0.00   55000.0   48.01
   29 Azodrin          1000000.0   30.00     2.0    0.95       1.0   30.38
   30 BALAN EC 2-1/2 G       0.1   51.00    10.0    0.20    8240.0   64.31 4.70238
   31 BANOL 1 GAL      1000000.0   12.00    15.0    0.95     309.0   95.22 5.17752
   32 BANVEL 2-1/2 GAL  360000.0   18.00     9.0    0.65      13.0   42.67 4.70238
   33 BASAGRAN    1 GA 2300000.0   27.00     2.0    0.60      35.0   36.60 4.70238
   34 Basta            1370000.0    7.00     4.0    0.95     430.0  184.87
   35 BAYGON EC 1 GAL     1800.0  145.00    99.0   99.00      29.0  103.27 4.93193
   36 CC BAYLETON 1%        71.5    6.00     8.0    0.30     319.0  366.03
   37 Baytex                 4.2   34.00     2.0    0.65    1390.0  238.88
   38 BAYTHROID II 1 G     200.0   60.00     5.0    0.40   31000.0    1.68 4.93193
   39 BENLATE 50WP 2-        2.9   67.00     6.0    0.25    1910.0   70.45 5.17752
   40 Benzex                 0.1  600.00     3.0    0.05   55000.0   56.96
   41 Betamix                4.7   30.00     5.0    0.70    2400.0  125.72
   42 BETANEX  15 GAL        9.0    7.70     0.0    0.00     150.0  141.07
   43 Bidrin 8.00EC    1000000.0    3.00    20.0    0.70      64.0   22.23
   44 BLADEX 4L 2.5 GA     170.0   17.00     0.0    0.00     218.0   14.56
   45 BOLERO 8E 30 GAL      28.0   21.00     7.0    0.70     900.0   12.03
   46 BOLSTAR 6 2.5 GA       0.3  143.00     0.5    0.55   25900.0   26.46
   47 MCPA 4.00L           825.0   25.00     8.0    0.50     110.0    8.04
   48 BOTRAN  4 LB           7.0   60.00     4.0    0.50    1000.0   30.58
   49 BRAVO 720 110 GA       0.6   48.00     5.0    0.50    5000.0   16.53 5.17752
   50 Brom-O-Sol         13400.0   55.00    99.0   99.00      22.0    0.00
   51 BROOT 15G 50 LB       58.0   20.00    99.0   99.00     356.0   28.37
   52 BUCTRIL  110 GAL      27.0    7.00     3.0    0.20    1079.0   55.01
   53 BUTYRAC 200  2.5       8.0    7.00     9.0    0.45     201.0  296.40
   54 CAPAROL 4L 2.5 G      33.0  261.00    10.0    0.50     383.0   16.37
   55 CARBAMATE WDG  5     120.0   17.00     3.0    0.90     300.0   11.08 5.17752
   56 Carbofos             145.0   25.00     3.0    0.90    1800.0    9.70
   57 CASORON 50W 4 LB      21.2   55.00     5.0    0.45     171.0   79.38
   58 CARZOL 1 LB       820000.0   12.00    30.0    0.95     275.0   80.19
   59 Cerone           1240000.0    7.00     5.0    0.95       1.0   34.93
   60 Chem-Hoe             250.0   10.00     2.0    0.50      98.0   12.13
   61 Chlordane              0.1  365.00     2.5    0.05   60000.0   12.48
   62 Chopper           500000.0   90.00    30.0    0.80     100.0  199.52 4.70238
   63 Classic             1200.0   52.50    15.0    0.90      91.0  448.43
   64 Cobra                  0.1    3.00     2.0    0.20   10000.0  115.76
   65 COMITE  2-1/2 GA       0.6   40.00     5.0    0.20   41000.0   22.23 4.93193
   66 COMMAND 3 ME 2.5    1100.0   87.00     3.0    0.80     274.0   37.41
   67 FF MICRO FLUOMET     110.0  189.00    10.0    0.00     100.0    0.84
   68 COUNTER 15G 50 L       4.5    5.00     2.5    0.60     650.0   27.27
   69 Crossbow         2100000.0   46.00    15.0    0.95      20.0   57.72
   70 CURACRON 8E  2-1      28.0    1.90     3.0    0.90    2016.0   26.62
   71 CYGON 2E 1 QT      39800.0    3.00     3.0    0.95      20.0   39.58
   72 CYTEX 5 GAL          700.0   20.00    10.0    0.50   10000.0  105.06
   73 CYTHION 2.5 GAL      130.0    1.00     3.0    0.90    1200.0    6.89
   74 DACAMINE 4D 1 GA   23180.0    5.50     9.0    0.45      48.0   21.42
   75 DACTHAL FLOWABLE       0.5   50.00    10.0    0.30    5600.0   14.30 4.70238
   76 DACTHAL 75W  1 L       0.5   50.00    10.0    0.30    5600.0    1.95 4.70238
   77 DACTHAL 75W  4 L       0.5   50.00    10.0    0.30    5600.0    2.11 4.70238
   78 DACTHAL 75W 24 L       0.5   50.00    10.0    0.30    5600.0    1.89 4.70238
   79 Dalapon           900000.0   30.00    37.0    0.95       1.0    9.08
   80 Dasanit             1540.0   30.00     4.0    0.90     300.0   17.49
   81 DDT                    0.1  120.00    10.0    0.05  240000.0    0.00
   82 Dedweed           866000.0   25.00     7.0    0.95      20.0  144.27 4.70238
   83 DEF 6                 23.0  745.00    10.0    0.00    7700.0   24.11
   84 Dessocant L-10     17000.010000.00     0.0    0.95  100000.0  138.66
   85 DEVRINOL 2E  5 G      74.0   48.00    15.0    0.60     462.0  431.08
   86 DIBROM 8E 5 GAL        1.5    1.00     0.5    0.90     157.0   19.40
   87 Dieldrin               0.1 1400.00     5.0    0.05   12000.0    0.00
   88 DIMILIN 2F 2 1/2       0.1    8.00    27.0    0.05    8700.0  216.46
   89 Dinitro Phenol        52.0   30.00    10.0    0.90      30.0    5.37
   90 Dinitro Salts       2200.0   20.00    10.0    0.90      63.0    5.37
   91 DIQUAT  1 GAL     718000.0 1000.00    30.0    0.95     500.0  106.92
   92 Dinoseb               52.0   30.00    23.0    1.00      30.0    5.37
   93 DI-SYSTON 8 11.2      12.0    2.20     3.0    0.50    1345.0   16.85 4.93193
   94 DITHANE F45  2.5       6.2    2.00    10.0    0.25    6000.0    8.40
   95 Dowpon            900000.0   30.00    37.0    0.95       1.0   14.87
   96 DROPP 50W 1 LB        20.0   10.00     3.0    0.40     742.0  233.73
   97 DSMA SLURRY 2 1/ 1400000.0 1000.00    30.0    0.95  100000.0    7.74
   98 DUAL HERBICIDE B     488.0   26.00     5.0    0.60      70.0   16.62
   99 Du-ter                 1.0   75.00    18.0    0.40   23000.0   17.64 4.70238
  100 DYFONATE 4E 5 GA      16.9   40.00     2.5    0.60     870.0   27.29
  101 DYLOX 5% BAIT 40  130000.0    6.40     3.0    0.95      15.0   41.45
  102 Dymid                260.0   30.00     5.0    0.80     210.0   65.93
  103 Dynap                200.0   12.00    12.0    1.00      30.0    0.00
  104 Dyrene                 8.0    0.60     0.5    0.50    2000.0   60.73
  105 Elgetol              130.0   20.00     8.0    0.95     300.0    5.37
  106 EPN                    0.5   15.00     5.0    0.60    4000.0   18.87
  107 ERADICANE 6.7E 1     375.0   18.00     3.0    0.75     223.0    7.24 4.70238
  108 Ethanox                1.1  150.00     7.0    0.65   10000.0    0.00
  109 EVIK 80W 4 LB        200.0   37.00     5.0    0.65     316.0   15.58
  110 Evital                34.0  130.00    15.0    0.50     353.0   35.83
  111 FAR-GO 2 1/2 GL        4.0   74.00    15.0    0.40    2550.0   20.37
  112 Fenatrol          500000.0  158.00    30.0    0.95      53.0  280.44
  113 Fenitox               21.0   18.00     3.0    0.90    7150.0    0.00
  114 Fruitone CPA      200000.0   10.00     3.0    0.95      20.0   15.12
  115 Fumazone            1000.0  180.00    99.0   99.00      70.0    4.55
  116 Fundal               270.0   86.00     1.0    0.90  100000.0    8.16
  117 FUNGINEX 1.6EC         6.0   21.00     5.0    0.80     527.0  107.20
  118 Furadan 4F           350.0   11.00     2.0    0.55      46.0   35.81
  119 Fusilade 1.00L         1.0   21.00     4.0    0.40    3000.0  123.48
  120 GLEAN 18 OZ        32000.0   20.00    30.0    0.75      36.0  612.50
  121 GOAL 1.6 2.5 GAL       0.1   30.00     0.0    0.00  100000.0   98.79
  122 GUTHION 3F 2 1/2      28.0   44.00     2.0    0.65     940.0   31.59
  123 Harmony Extra       2400.0   12.00     3.0    0.80      45.0   16.76
  124 HARVADE  2-1/2 G    4600.0  413.00     3.0    0.80       3.0   34.97
  125 ILLOXAN 3E 1 GAL       0.8   23.00     0.0    0.00   16000.0   79.12
  126 HYVAR XL 2 1/2 G     700.0  275.00     0.0    0.00      32.0   61.00
  127 HYVAR XL 5 GAL       700.0  275.00     0.0    0.00      32.0   66.15
  128 IMIDAN 70WSB 4 L      20.0   14.00     3.0    0.90     668.0   18.99 4.93193
  129 ISOTOX  EACH           7.0  423.00     2.5    0.05    1355.0    0.00
  130 KARATE  1 GAL          0.0   43.00     5.0    0.40  180000.0  519.83
  131 Karathane LC           0.1    5.00     8.0    0.30     550.0   79.38
  132 Karmex                42.0  372.00    30.0    0.45     476.0   14.72
  133 KELTHANE MF  2.5       0.8   68.00     4.0    0.05    7207.0   25.46
  134 KERB WSP T&O  3       12.9   45.00     0.0    0.00     750.0  109.10
  135 Krenite S        1790000.0    7.00     4.0    0.95      63.0   67.42
  136 LANNATE L  2-1/2   57900.0   30.00     0.0    0.00      86.0   47.78
  137 Larvadex           13600.0  125.00    30.0    0.95     765.0   36.60
  138 LARVIN 2.5 GAL        19.1    2.00     4.0    0.70     351.0   35.03
  139 LASSO EC  55 GAL     240.0   15.00     3.0    0.40     170.0   13.37 4.70238
  140 Limit                 10.0   20.00     8.0    0.70    1000.0  145.81
  141 Logic                  5.7    1.00    99.0   99.00    3220.0   80.34
  142 LONDAX DF 20 OZ       80.0   24.00     0.0    0.00     276.1  416.54
  143 Lontrel             9000.0   26.00     2.0    0.95      36.0    7.70
  144 LOROX L  2-1/2 G      75.0   81.00    15.0    0.60     496.0   34.18 4.70238
  145 LORSBAN 30 FL LO       1.2   30.50     3.3    0.65    9930.0   60.09 4.93193
  146 Manzate 200            2.9   67.00     3.0    0.65    1910.0    2.55
  147 METHOXYCHLOR 2E        0.1  128.00     6.0    0.05   76000.0   15.19
  148 Matacil              915.0    6.00     4.0    0.90     100.0    0.00
  149 MAVRIK AF  1 QT        0.0   25.00     7.0    0.40  260000.0  382.43
  150 Merpan                 4.0   10.00     9.0    0.65     198.0   13.08
  151 Metasystox       1000000.0   10.00     3.0    0.95      10.0   51.82
  152 Metaldehyde          230.0   10.00    99.0   99.00     240.0    0.00
  153 METHYL PARATHION      11.0   14.00     3.0    0.65    7600.0   13.62 4.93193
  154 Milogard               3.0  123.00     5.0    0.45     161.0    8.16
  155 Miral                 69.0   40.50     5.0    0.65     155.0    0.00
